"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
8212,12/31/2024 0:00:00,3842,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8216,12/31/2024 0:00:00,3845,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","1","1","1","","","","","","","1","1","1","1","1",""
8218,12/31/2024 0:00:00,3847,"549300MUTFJQGRZJH019","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
8229,12/31/2024 0:00:00,3851,"","1","1","0","0","0","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
8230,12/31/2024 0:00:00,3852,"549300TJMPSMO4XCL284","1","1","0","1","1","1","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
8237,12/31/2024 0:00:00,3859,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
8255,12/31/2024 0:00:00,3861,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8261,12/31/2024 0:00:00,3866,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8290,12/31/2024 0:00:00,3877,"254900WJGWD3H4OFK051","1","0","0","0","0","0","0","1","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8298,12/31/2024 0:00:00,3881,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","1","1","","","","","","","","1","1","1","1","",""
8299,12/31/2024 0:00:00,3882,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","1","1","",""
8313,12/31/2024 0:00:00,3889,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8317,12/31/2024 0:00:00,3891,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8333,12/31/2024 0:00:00,3901,"54930080168VA6Z8UX21","1","1","0","0","0","0","0","0","1","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
8339,12/31/2024 0:00:00,3905,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8344,12/31/2024 0:00:00,3908,"5493006CXHXIFN8Q4S89","1","0","1","0","0","0","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8349,12/31/2024 0:00:00,3910,"","1","0","0","0","0","0","0","0","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
8367,12/31/2024 0:00:00,3918,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8413,12/31/2024 0:00:00,3940,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
8418,12/31/2024 0:00:00,3943,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8428,12/31/2024 0:00:00,3949,"","1","0","0","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8433,12/31/2024 0:00:00,3952,"","1","0","0","0","0","0","0","0","0","1","0","0","","","","","","1","","1","","","1","","1","","","","","","","",""
8435,12/31/2024 0:00:00,3953,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
8442,12/31/2024 0:00:00,3957,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8445,12/31/2024 0:00:00,3959,"","1","0","0","0","0","0","0","0","0","0","1","0","1","","","","","1","","1","","","1","","1","","","","1","","1","",""
8474,12/31/2024 0:00:00,3973,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8475,12/31/2024 0:00:00,3974,"","1","1","1","1","1","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8486,12/31/2024 0:00:00,3980,"549300BKCQISE9PR4J88","1","1","1","0","0","0","0","0","1","0","0","0","1","1","1","Feb 22 2024  5:00AM","","","","","","","","","","","","","","","","",""
8512,12/31/2024 0:00:00,3995,"894500KOG527QMFEK485","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
8523,12/31/2024 0:00:00,4001,"","1","0","0","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8530,12/31/2024 0:00:00,4006,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8540,12/31/2024 0:00:00,4012,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8548,12/31/2024 0:00:00,4015,"","1","1","1","1","1","0","0","0","0","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
8549,12/31/2024 0:00:00,4016,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8550,12/31/2024 0:00:00,4017,"2549000BG2198NFS0K59","1","0","0","0","0","1","1","0","0","0","1","0","1","1","1","Feb 29 2024  5:00AM","","","","","","","","","","","","","","","","",""
8554,12/31/2024 0:00:00,4019,"549300C5JF1UNQK9KC45","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","Jan 25 2024  5:00AM","","","","","","","","","","","","","","","","",""
8585,12/31/2024 0:00:00,4033,"549300S63J8KM7BY5617","1","1","1","1","1","0","0","0","1","0","0","0","1","1","1","Feb  5 2024  6:00AM","","","","","","","","","","","","","","","","",""
8588,12/31/2024 0:00:00,4034,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8593,12/31/2024 0:00:00,4036,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8609,12/31/2024 0:00:00,4041,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8611,12/31/2024 0:00:00,4042,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8616,12/31/2024 0:00:00,4046,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8618,12/31/2024 0:00:00,4047,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8625,12/31/2024 0:00:00,4051,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8626,12/31/2024 0:00:00,4052,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8642,12/31/2024 0:00:00,4059,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8654,12/31/2024 0:00:00,4063,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8687,12/31/2024 0:00:00,4086,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8693,12/31/2024 0:00:00,4089,"549300V56OLT434ILO42","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","Feb 21 2024  5:00AM","","","","","","","","","","","","","","","","",""
8694,12/31/2024 0:00:00,4090,"2549005WP4EISHQKDS45","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2023  6:00AM","","","","","","","","","","","","","","","","",""
8701,12/31/2024 0:00:00,4095,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8709,12/31/2024 0:00:00,4100,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8715,12/31/2024 0:00:00,4102,"","1","0","1","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","",""
8725,12/31/2024 0:00:00,4107,"549300VEXSWLQB1TM843","1","1","1","0","0","0","0","0","1","0","0","0","1","1","1","Jan 23 2024  7:00AM","","","","","","","","","","","","","","","","",""
8733,12/31/2024 0:00:00,4109,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8749,12/31/2024 0:00:00,4114,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8752,12/31/2024 0:00:00,4117,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8774,12/31/2024 0:00:00,4123,"","1","1","0","0","0","0","0","0","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
8791,12/31/2024 0:00:00,4129,"","1","1","1","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8797,12/31/2024 0:00:00,4131,"549300TTPRGSP8DGY569","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","Feb 16 2024  5:00AM","","","","","","","","","","","","","","","","",""
8801,12/31/2024 0:00:00,4134,"","1","1","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8812,12/31/2024 0:00:00,4139,"","1","1","0","0","0","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
8822,12/31/2024 0:00:00,4144,"","1","0","0","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8825,12/31/2024 0:00:00,4147,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8828,12/31/2024 0:00:00,4148,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8831,12/31/2024 0:00:00,4150,"5493006B4YBR7ZSB3G86","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 27 2025  5:00AM","","","","","","","","","","","","","","","","",""
8840,12/31/2024 0:00:00,4154,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8854,12/31/2024 0:00:00,4160,"254900LNRKOG7TRURB32","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8858,12/31/2024 0:00:00,4164,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8881,12/31/2024 0:00:00,4177,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8885,12/31/2024 0:00:00,4178,"","1","0","1","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8890,12/31/2024 0:00:00,4181,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8903,12/31/2024 0:00:00,4184,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8905,12/31/2024 0:00:00,4186,"549300167EZ5P8B06R34","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 17 2025  6:00AM","","","","","","","","","","","","","1","","1","",""
8913,12/31/2024 0:00:00,4191,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8915,12/31/2024 0:00:00,4193,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8920,12/31/2024 0:00:00,4197,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8921,12/31/2024 0:00:00,4198,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8922,12/31/2024 0:00:00,4199,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8925,12/31/2024 0:00:00,4201,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8936,12/31/2024 0:00:00,4206,"549300akqunb6hfb7w73","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8940,12/31/2024 0:00:00,4209,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8943,12/31/2024 0:00:00,4210,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8944,12/31/2024 0:00:00,4211,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8962,12/31/2024 0:00:00,4220,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8967,12/31/2024 0:00:00,4222,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8975,12/31/2024 0:00:00,4225,"","1","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","",""
8987,12/31/2024 0:00:00,4230,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
8988,12/31/2024 0:00:00,4231,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
8993,12/31/2024 0:00:00,4233,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","1","","1","","","","","","","",""
9000,12/31/2024 0:00:00,4236,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9003,12/31/2024 0:00:00,4239,"","1","1","1","1","1","0","1","1","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
9007,12/31/2024 0:00:00,4242,"549300BHPLBG0CXKTL06","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","Feb  2 2024  5:00AM","","","","","","","","","","","","","","","","",""
9042,12/31/2024 0:00:00,4261,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9044,12/31/2024 0:00:00,4262,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","","","",""
9071,12/31/2024 0:00:00,4275,"5493008Q2ZM3OTLTQH25","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
9075,12/31/2024 0:00:00,4278,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9082,12/31/2024 0:00:00,4281,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9089,12/31/2024 0:00:00,4286,"549300J5YB46ZKVUNF26","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","Feb 29 2024  7:00AM","","","","","","","","","","","","","","","","",""
9090,12/31/2024 0:00:00,4287,"","1","1","1","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9093,12/31/2024 0:00:00,4288,"","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","","","","","","","1","1","",""
9094,12/31/2024 0:00:00,4289,"5493004JDNBZNOT8PR69","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  7:00AM","","","","","","","","","","","","","","","","",""
9095,12/31/2024 0:00:00,4290,"5493003B2LEGQHDWRN55","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
9097,12/31/2024 0:00:00,4292,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9099,12/31/2024 0:00:00,4294,"549300cyxw7ld00ycq70","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","Jan 14 2025  7:00AM","","","","","","1","","1","1","","","","","","","",""
9102,12/31/2024 0:00:00,4297,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9105,12/31/2024 0:00:00,4298,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","","","","","","","1","1","1","",""
9106,12/31/2024 0:00:00,4299,"549300VNVP1PTYHESA41","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
9107,12/31/2024 0:00:00,4300,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9109,12/31/2024 0:00:00,4301,"549300I8D8TQDQWQA082","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Feb 26 2024  8:00AM","","","","","","","","","","","","","","1","1","",""
9115,12/31/2024 0:00:00,4305,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","1","","","1","","1","","","1","","","","","","","",""
9119,12/31/2024 0:00:00,4307,"549300Y37WHI3S8KVE74","1","1","1","1","1","0","0","0","1","0","0","0","1","1","1","Feb  6 2024  8:00AM","1","","1","1","","","","","","","","1","","1","1","",""
9145,12/31/2024 0:00:00,4319,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9146,12/31/2024 0:00:00,4320,"","1","0","1","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
9148,12/31/2024 0:00:00,4322,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
9160,12/31/2024 0:00:00,4328,"","1","0","0","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9163,12/31/2024 0:00:00,4331,"5493004GIR4SU5011868","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  8 2024  7:00AM","","","","","","","","","","","","","","","","",""
9164,12/31/2024 0:00:00,4332,"549300CKG3JGNHH34D61","1","1","1","1","1","0","0","1","1","0","1","0","1","1","1","Feb 29 2024  6:00AM","","","","","","","","","","","","","","","","",""
9189,12/31/2024 0:00:00,4345,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","","","","",""
9194,12/31/2024 0:00:00,4348,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9208,12/31/2024 0:00:00,4356,"2549005BWLPEBQA7QJ63","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","Feb 14 2024  5:00AM","","","","","","","","","","","","","","","","",""
9213,12/31/2024 0:00:00,4359,"","1","1","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9214,12/31/2024 0:00:00,4360,"254900U24UQY3YOJ3368","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
9219,12/31/2024 0:00:00,4361,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9229,12/31/2024 0:00:00,4365,"5493001QMUDK2ML5S840","1","0","0","0","1","0","0","1","0","0","0","0","1","1","1","Mar  1 2024  6:00AM","","","","","","","","","","","","","","","","",""
9230,12/31/2024 0:00:00,4366,"549300WXO2FZYE7KAW26","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Feb 28 2024  8:00AM","","","1","1","","","","","","","","1","","1","1","",""
9237,12/31/2024 0:00:00,4371,"549300C1SBZVJTL6WB07","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM","","","","","","","","","","","","","","","","",""
9246,12/31/2024 0:00:00,4379,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9247,12/31/2024 0:00:00,4380,"549300OP314BNT2VUU11","1","0","1","0","0","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
9248,12/31/2024 0:00:00,4381,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9260,12/31/2024 0:00:00,4387,"549300OHIEQGELZVJP60","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
9287,12/31/2024 0:00:00,4400,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9288,12/31/2024 0:00:00,4401,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9289,12/31/2024 0:00:00,4402,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9292,12/31/2024 0:00:00,4404,"549300KZVCKCUN23YY80","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  8:00AM","","","","","","","","","","","","","","","","",""
9293,12/31/2024 0:00:00,4405,"254900EHOJ91PS23E696","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Jan  7 2025  8:00AM","","","","","","","","","","","","","","","","",""
9296,12/31/2024 0:00:00,4407,"","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","Mar  1 2025  8:00AM","","","1","1","","","","1","1","","","","","1","1","",""
9300,12/31/2024 0:00:00,4409,"549300C5503C17DSIP33","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 29 2024  6:00AM","","","","","","","","","","","","","","","","",""
9310,12/31/2024 0:00:00,4415,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9327,12/31/2024 0:00:00,4423,"254900VVCX7PR9KDCK83","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 17 2025  5:00AM","","","","","","","","","","","","","","","","",""
9335,12/31/2024 0:00:00,4427,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
9348,12/31/2024 0:00:00,4435,"549300SjYSEN2j8n3132","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2024  5:00AM","","","","","","","","","","","","","","","","",""
9349,12/31/2024 0:00:00,4436,"","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9358,12/31/2024 0:00:00,4443,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
9370,12/31/2024 0:00:00,4449,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","1","","","","","1","1","",""
9373,12/31/2024 0:00:00,4451,"54930083D8Q8RK84Y448","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","Jan 29 2025  8:00AM","","","","","","","","","","","","","","","","",""
9376,12/31/2024 0:00:00,4453,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9381,12/31/2024 0:00:00,4456,"","1","1","1","0","1","0","0","0","1","0","0","0","","","","","1","","","1","","1","","","1","","","1","","","1","",""
9398,12/31/2024 0:00:00,4469,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9408,12/31/2024 0:00:00,4478,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
9411,12/31/2024 0:00:00,4480,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9413,12/31/2024 0:00:00,4482,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9441,12/31/2024 0:00:00,4500,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9457,12/31/2024 0:00:00,4508,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","1","1","",""
9469,12/31/2024 0:00:00,4514,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","1","1","1","","","","1","1","1","",""
9475,12/31/2024 0:00:00,4516,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9476,12/31/2024 0:00:00,4517,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9479,12/31/2024 0:00:00,4520,"","1","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","",""
9483,12/31/2024 0:00:00,4522,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
9486,12/31/2024 0:00:00,4524,"549300RA8E6JQC2S7K66","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
9496,12/31/2024 0:00:00,4530,"","1","1","0","0","1","0","0","0","1","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
9497,12/31/2024 0:00:00,4531,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9500,12/31/2024 0:00:00,4533,"549300U3NIUGN9OO4407","1","1","0","1","1","0","0","0","1","0","0","0","1","1","1","Feb 16 2024  5:00AM","","","","","","","","","","","","","","","","",""
9501,12/31/2024 0:00:00,4534,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9517,12/31/2024 0:00:00,4545,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9518,12/31/2024 0:00:00,4546,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9522,12/31/2024 0:00:00,4549,"","1","1","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9527,12/31/2024 0:00:00,4553,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
9532,12/31/2024 0:00:00,4556,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9537,12/31/2024 0:00:00,4560,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9554,12/31/2024 0:00:00,4569,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
9555,12/31/2024 0:00:00,4570,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9556,12/31/2024 0:00:00,4571,"","1","1","0","0","0","0","0","1","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
9566,12/31/2024 0:00:00,4576,"","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","","","","","","","1","1","",""
9582,12/31/2024 0:00:00,4584,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","1","1","1","","","","1","1","1","",""
9589,12/31/2024 0:00:00,4590,"549300MVSM4XYFQL3X62","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 17 2025  6:00AM","","","","","","","","","","","","","","","","",""
9590,12/31/2024 0:00:00,4591,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9604,12/31/2024 0:00:00,4600,"549300H0B8QZSS10X971","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","Feb 28 2024  5:00AM","","","","","","","","","","","","","","","","",""
9607,12/31/2024 0:00:00,4602,"","1","1","1","1","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
9613,12/31/2024 0:00:00,4605,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
